,Date,EPS,Cons.,Cons..1,Surprise,Revs,Ticker,Market Cap,Sector,BeforeOpen,NormDate
4,2013-10-28,1.18,$1.13,$36.84B,0.05,$37.5B,AAPL,"159,229,281.64",Information Technology,False,2013-10-29
5,2013-07-23,1.07,$1.05,$35.01B,0.02,$35.3B,AAPL,"159,229,281.64",Information Technology,False,2013-07-24
6,2013-04-23,1.44,$1.44,$42.59B,0.0,$43.6B,AAPL,"159,229,281.64",Information Technology,False,2013-04-24
7,2013-01-23,1.97,$1.92,$54.73B,0.05,$54.51B,AAPL,"159,229,281.64",Information Technology,False,2013-01-24
8,2012-10-25,1.24,$1.25,$35.8B,-0.01,$36B,AAPL,"159,229,281.64",Information Technology,False,2012-10-26
9,2012-07-24,1.33,$1.48,$37.18B,-0.15,$35B,AAPL,"159,229,281.64",Information Technology,False,2012-07-25
10,2012-04-24,1.76,$1.44,$36.81B,0.32,$39.2B,AAPL,"159,229,281.64",Information Technology,False,2012-04-25
11,2012-01-24,1.98,$1.44,$38.85B,0.54,$46.33B,AAPL,"159,229,281.64",Information Technology,False,2012-01-25
12,2011-10-18,1.01,$1.04,$29.45B,-0.03,$28.3B,AAPL,"159,229,281.64",Information Technology,False,2011-10-19
13,2011-07-19,1.11,$0.83,$24.92B,0.28,$28.6B,AAPL,"159,229,281.64",Information Technology,False,2011-07-20
14,2011-04-20,0.91,$0.76,$23.27B,0.15,$24.67B,AAPL,"159,229,281.64",Information Technology,False,2011-04-21
15,2011-01-18,0.92,$0.77,$24.34B,0.15,$26.74B,AAPL,"159,229,281.64",Information Technology,False,2011-01-19
4,2013-10-24,0.62,$0.55,$17.83B,0.07,$18.53B,MSFT,"120,980,732.16",Information Technology,False,2013-10-25
5,2013-07-18,0.66,$0.75,$20.73B,-0.09,$19.9B,MSFT,"120,980,732.16",Information Technology,False,2013-07-19
6,2013-04-18,0.72,$0.68,$20.56B,0.04,$20.49B,MSFT,"120,980,732.16",Information Technology,False,2013-04-19
7,2013-01-24,0.76,$0.75,$21.53B,0.01,$21.46B,MSFT,"120,980,732.16",Information Technology,False,2013-01-25
8,2012-10-18,0.53,$0.56,$16.42B,-0.03,$16.01B,MSFT,"120,980,732.16",Information Technology,False,2012-10-19
9,2012-07-19,0.73,$0.62,$18.14B,0.11,$18.06B,MSFT,"120,980,732.16",Information Technology,False,2012-07-20
10,2012-04-19,0.6,$0.58,$17.18B,0.02,$17.41B,MSFT,"120,980,732.16",Information Technology,False,2012-04-20
11,2012-01-19,0.78,$0.76,$20.93B,0.02,$20.89B,MSFT,"120,980,732.16",Information Technology,False,2012-01-20
12,2011-10-20,0.68,$0.68,$17.25B,0.0,$17.37B,MSFT,"120,980,732.16",Information Technology,False,2011-10-21
13,2011-07-21,0.69,$0.58,$17.25B,0.11,$17.37B,MSFT,"120,980,732.16",Information Technology,False,2011-07-22
14,2011-04-28,0.61,$0.56,$16.2B,0.05,$16.43B,MSFT,"120,980,732.16",Information Technology,False,2011-04-29
15,2011-01-27,0.77,$0.68,$19.14B,0.09,$19.95B,MSFT,"120,980,732.16",Information Technology,False,2011-01-28
4,2013-10-31,1.79,$1.77,$107.4B,0.02,$112.4B,XOM,"97,733,864.80",Energy,True,2013-10-31
5,2013-08-01,1.55,$1.90,$105.54B,-0.35,$106.5B,XOM,"97,733,864.80",Energy,True,2013-08-01
6,2013-04-25,2.12,$2.05,$119.83B,0.07,$108.81B,XOM,"97,733,864.80",Energy,True,2013-04-25
7,2013-02-01,2.2,$2.00,$115.22B,0.2,$115.17B,XOM,"97,733,864.80",Energy,True,2013-02-01
8,2012-11-01,2.09,$1.96,$112.4B,0.13,$115.71B,XOM,"97,733,864.80",Energy,True,2012-11-01
9,2012-07-26,3.46,$1.95,$115.08B,1.51,$127.36B,XOM,"97,733,864.80",Energy,True,2012-07-26
10,2012-04-26,2.0,$2.09,$124.76B,-0.09,$124.05B,XOM,"97,733,864.80",Energy,True,2012-04-26
11,2012-01-31,1.97,$1.96,$119.7B,0.01,$121.6B,XOM,"97,733,864.80",Energy,True,2012-01-31
12,2011-10-27,2.13,$2.13,$113.56B,0.0,$125.33B,XOM,"97,733,864.80",Energy,True,2011-10-27
13,2011-07-28,2.18,$2.33,$121.39B,-0.15,$125.49B,XOM,"97,733,864.80",Energy,True,2011-07-28
14,2011-04-28,2.14,$2.06,$114.85B,0.08,$114B,XOM,"97,733,864.80",Energy,True,2011-04-28
15,2011-01-31,1.85,$1.62,$99.11B,0.23,$105.19B,XOM,"97,733,864.80",Energy,True,2011-01-31
4,2013-10-15,1.36,$1.32,$17.46B,0.04,$17.6B,JNJ,"88,050,140.20",Health Care,True,2013-10-15
5,2013-07-16,1.48,$1.39,$17.71B,0.09,$17.9B,JNJ,"88,050,140.20",Health Care,True,2013-07-16
6,2013-04-16,1.44,$1.41,$17.46B,0.03,$17.5B,JNJ,"88,050,140.20",Health Care,True,2013-04-16
7,2013-01-22,1.19,$1.17,$17.67B,0.02,$17.6B,JNJ,"88,050,140.20",Health Care,True,2013-01-22
8,2012-10-16,1.25,$1.21,$16.95B,0.04,$17.1B,JNJ,"88,050,140.20",Health Care,True,2012-10-16
9,2012-07-17,1.3,$1.30,$16.7B,0.0,$16.5B,JNJ,"88,050,140.20",Health Care,True,2012-07-17
10,2012-04-17,1.37,$1.35,$16.26B,0.02,$16.1B,JNJ,"88,050,140.20",Health Care,True,2012-04-17
11,2012-01-24,1.13,$1.10,$16.29B,0.03,$16.3B,JNJ,"88,050,140.20",Health Care,True,2012-01-24
12,2011-10-18,1.24,$1.21,$16.02B,0.03,$16B,JNJ,"88,050,140.20",Health Care,True,2011-10-18
13,2011-07-19,1.28,$1.23,$16.22B,0.05,$16.6B,JNJ,"88,050,140.20",Health Care,True,2011-07-19
14,2011-04-19,1.35,$1.26,$15.83B,0.09,$16.2B,JNJ,"88,050,140.20",Health Care,True,2011-04-19
15,2011-01-25,1.03,$1.03,$16.08B,0.0,$15.6B,JNJ,"88,050,140.20",Health Care,True,2011-01-25
4,2013-10-11,1.42,$1.30,$24.14B,0.12,$23.9B,JPM,"79,545,699.99",Financials,True,2013-10-11
5,2013-07-12,1.6,$1.44,$24.84B,0.16,$25.2B,JPM,"79,545,699.99",Financials,True,2013-07-12
6,2013-04-12,1.59,$1.37,$25.87B,0.22,$25.1B,JPM,"79,545,699.99",Financials,True,2013-04-12
7,2013-01-16,1.39,$1.16,$24.56B,0.23,$24.4B,JPM,"79,545,699.99",Financials,True,2013-01-16
8,2012-10-12,1.4,$1.17,$24.07B,0.23,$25.9B,JPM,"79,545,699.99",Financials,True,2012-10-12
9,2012-07-13,1.21,$0.72,$21.93B,0.49,$22.89B,JPM,"79,545,699.99",Financials,True,2012-07-13
10,2012-04-13,1.31,$1.12,$24.37B,0.19,$26.7B,JPM,"79,545,699.99",Financials,True,2012-04-13
11,2012-01-13,0.9,$0.90,$23.05B,0.0,$22.2B,JPM,"79,545,699.99",Financials,True,2012-01-13
12,2011-10-13,1.02,$0.96,$23.73B,0.06,$24.4B,JPM,"79,545,699.99",Financials,True,2011-10-13
13,2011-07-14,1.27,$1.21,$25.13B,0.06,$26.78B,JPM,"79,545,699.99",Financials,True,2011-07-14
14,2011-04-13,1.28,$1.16,$25.48B,0.12,$25.8B,JPM,"79,545,699.99",Financials,True,2011-04-13
15,2011-01-14,1.12,$0.99,$24.44B,0.13,$26.1B,JPM,"79,545,699.99",Financials,True,2011-01-14
4,2013-10-18,0.36,$0.37,$38.84B,-0.01,$35.7B,GE,"77,164,580.07",Industrials,True,2013-10-18
