,Date,Ticker,Expiration,OpenInterest,OpenInterestBefore,CallPut,Strike,StrikeDiff,ClosePrice,ClosePriceAfter,ExpirationDiff
0,2013-07-24,AAPL  ,2013-08-23,9.0,5.0,P,440.0,0.510009765625,110.12750244140625,125.58999633789062,2.0
1,2013-07-24,AAPL  ,2013-08-23,9.0,12.0,P,440.0,0.510009765625,110.12750244140625,125.58999633789062,2.0
2,2013-07-24,AAPL  ,2013-08-23,14.0,5.0,P,440.0,0.510009765625,110.12750244140625,125.58999633789062,2.0
3,2013-07-24,AAPL  ,2013-08-23,14.0,12.0,P,440.0,0.510009765625,110.12750244140625,125.58999633789062,2.0
4,2013-07-24,AAPL  ,2013-08-23,25.0,23.0,C,440.0,0.510009765625,110.12750244140625,125.58999633789062,2.0
5,2013-07-24,AAPL  ,2013-08-23,25.0,252.0,C,440.0,0.510009765625,110.12750244140625,125.58999633789062,2.0
6,2013-07-24,AAPL  ,2013-08-23,508.0,23.0,C,440.0,0.510009765625,110.12750244140625,125.58999633789062,2.0
7,2013-07-24,AAPL  ,2013-08-23,508.0,252.0,C,440.0,0.510009765625,110.12750244140625,125.58999633789062,2.0
0,2013-04-24,AAPL  ,2013-05-24,0.0,42.0,C,405.0,0.462005615234375,101.3655014038086,110.3385009765625,2.0
1,2013-04-24,AAPL  ,2013-05-24,0.0,82.0,P,405.0,0.462005615234375,101.3655014038086,110.3385009765625,2.0
2,2013-04-24,AAPL  ,2013-05-24,141.0,42.0,C,405.0,0.462005615234375,101.3655014038086,110.3385009765625,2.0
3,2013-04-24,AAPL  ,2013-05-24,248.0,82.0,P,405.0,0.462005615234375,101.3655014038086,110.3385009765625,2.0
0,2013-01-24,AAPL  ,2013-02-22,151.0,150.0,C,450.0,0.5,112.625,112.70249938964844,0.0
1,2013-01-24,AAPL  ,2013-02-22,570.0,366.0,P,450.0,0.5,112.625,112.70249938964844,0.0
0,2011-10-19,AAPL  ,2011-11-19,13592.0,13814.0,C,400.0,1.3800048828125,99.65499877929688,96.19249725341797,3.0
1,2011-10-19,AAPL  ,2011-11-19,27517.0,26751.0,P,400.0,1.3800048828125,99.65499877929688,96.19249725341797,3.0
0,2011-07-20,AAPL  ,2011-08-20,790.0,793.0,P,385.0,1.899993896484375,96.7249984741211,95.11000061035156,3.0
1,2011-07-20,AAPL  ,2011-08-20,14166.0,15849.0,C,385.0,1.899993896484375,96.7249984741211,95.11000061035156,3.0
0,2011-04-21,AAPL  ,2011-05-21,8530.0,8365.0,P,350.0,0.696014404296875,87.67400360107422,83.80500030517578,1.0
1,2011-04-21,AAPL  ,2011-05-21,37439.0,34618.0,C,350.0,0.696014404296875,87.67400360107422,83.80500030517578,1.0
0,2011-01-19,AAPL  ,2011-02-19,5974.0,4123.0,P,340.0,1.160003662109375,84.70999908447266,90.78250122070312,3.0
1,2011-01-19,AAPL  ,2011-02-19,20153.0,15349.0,C,340.0,1.160003662109375,84.70999908447266,90.78250122070312,3.0
0,2013-04-19,MSFT  ,2013-05-18,15551.0,15344.0,P,30.0,0.2350006103515625,1.8603124618530273,2.179374933242798,1.0
1,2013-04-19,MSFT  ,2013-05-18,104255.0,102439.0,C,30.0,0.2350006103515625,1.8603124618530273,2.179374933242798,1.0
0,2012-07-20,MSFT  ,2012-08-18,15554.0,14329.0,P,30.0,0.11499977111816406,1.8821874856948853,1.931249976158142,1.0
1,2012-07-20,MSFT  ,2012-08-18,28702.0,28759.0,C,30.0,0.11499977111816406,1.8821874856948853,1.931249976158142,1.0
0,2012-01-20,MSFT  ,2012-02-18,5233.0,3315.0,P,30.0,0.29000091552734375,1.856874942779541,1.953125,1.0
1,2012-01-20,MSFT  ,2012-02-18,53901.0,47542.0,C,30.0,0.29000091552734375,1.856874942779541,1.953125,1.0
0,2011-10-21,MSFT  ,2011-11-19,15063.0,14383.0,P,27.0,0.15999984741210938,1.6974999904632568,1.5812499523162842,1.0
1,2011-10-21,MSFT  ,2011-11-19,33764.0,32570.0,C,27.0,0.15999984741210938,1.6974999904632568,1.5812499523162842,1.0
0,2013-02-01,XOM   ,2013-03-16,3753.0,3723.0,C,90.0,0.04000091552734375,22.510000228881836,22.237499237060547,12.0
1,2013-02-01,XOM   ,2013-03-16,4658.0,4123.0,P,90.0,0.04000091552734375,22.510000228881836,22.237499237060547,12.0
0,2013-07-16,JNJ   ,2013-08-17,796.0,556.0,P,90.0,0.40000152587890625,22.600000381469727,23.252500534057617,4.0
1,2013-07-16,JNJ   ,2013-08-17,5539.0,5430.0,C,90.0,0.40000152587890625,22.600000381469727,23.252500534057617,4.0
0,2013-04-16,JNJ   ,2013-05-18,4936.0,2860.0,P,82.5,0.94000244140625,20.860000610351562,21.74250030517578,4.0
1,2013-04-16,JNJ   ,2013-05-18,8079.0,6116.0,C,82.5,0.94000244140625,20.860000610351562,21.74250030517578,4.0
