Security ID,The Date for this Price Record,CUSIP Number,Ticker Symbol,SIC Code,Index Flag,Exchange Designator,Class Designator,The Type of Security,Industry Group,Low (or Closing Bid if Negative),High (or Closing Ask if Negative),Open Price (0 if no opening price),Close (or Bid-Ask Average if Negative),Volume,Return Since Last Good Pricing Date,Cumulative Adjustment Factor,Shares Outstanding,Cumulative Total Return Factor
100897,20130801,120410,GAS,4924,0,1,,0,912,45.75,46.5,45.86,46.44,379772,0.014195,1,118592,2.322258
100897,20130802,120410,GAS,4924,0,1,,0,912,45.73,46.4378,46.29,45.99,641457,-0.00969,1,118592,2.322258
100897,20130805,120410,GAS,4924,0,1,,0,912,45.82,46.21,45.82,46,458444,0.000217,1,118592,2.322258
100897,20130806,120410,GAS,4924,0,1,,0,912,45.73,46.19,45.85,45.81,485809,-0.00413,1,118592,2.322258
100897,20130807,120410,GAS,4924,0,1,,0,912,45.53,46.06,45.7,45.74,485048,-0.001528,1,118592,2.322258
100897,20130808,120410,GAS,4924,0,1,,0,912,45.56,46.12,45.94,46.02,1142959,0.006122,1,118592,2.322258
100897,20130809,120410,GAS,4924,0,1,,0,912,45.84,46.18,46.02,45.91,1182009,-0.00239,1,118592,2.322258
100897,20130812,120410,GAS,4924,0,1,,0,912,45.61,46.26,45.78,46.23,1316109,0.00697,1,118592,2.322258
100897,20130813,120410,GAS,4924,0,1,,0,912,45.92,46.34,46.24,46.14,399539,-0.001947,1,118592,2.322258
100897,20130814,120410,GAS,4924,0,1,,0,912,45.18,45.79,45.25,45.51,366981,-0.003468,1,118592,2.346241
100897,20130815,120410,GAS,4924,0,1,,0,912,44.86,45.33,45.27,44.92,470091,-0.012964,1,118592,2.346241
100897,20130816,120410,GAS,4924,0,1,,0,912,44.12,45.02,44.78,44.5,679940,-0.00935,1,118592,2.346241
100897,20130819,120410,GAS,4924,0,1,,0,912,44.46,44.79,44.58,44.66,600092,0.003596,1,118592,2.346241
100897,20130820,120410,GAS,4924,0,1,,0,912,44.55,45.64,44.62,45.35,735911,0.01545,1,118592,2.346241
100897,20130821,120410,GAS,4924,0,1,,0,912,44.59,45.23,45.19,44.9,557212,-0.009923,1,118592,2.346241
100897,20130822,120410,GAS,4924,0,1,,0,912,44.76,45.23,45,44.94,254496,0.000891,1,118592,2.346241
